"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","11:07:07","11:08:05","58"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","12:38:22","12:38:33","11"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","12:39:42","12:39:54","12"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","12:41:51","12:42:15","24"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","13:09:04","13:09:16","12"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","13:42:16","13:43:17","61"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","14:05:28","14:05:39","11"
"ERR_S3_70","C31_A取料盘夹爪气缸动位报警","气缸类型报警","15:13:36","15:15:47","131"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","15:13:52","15:15:45","113"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","19:18:37","19:18:56","19"
"ERR_S3_97","A治具1异常报警","治具异常类型报警","19:31:34","19:32:10","36"
"ERR_S3_87","A工位测试1反馈超时报警","","19:31:46","19:32:10","24"
"ERR_S3_97","A治具1异常报警","治具异常类型报警","19:32:34","---","0"
"ERR_S3_87","A工位测试1反馈超时报警","","19:32:46","---","0"
"ERR_S3_87","A工位测试1反馈超时报警","","19:33:06","19:33:15","9"
"ERR_S3_97","A治具1异常报警","治具异常类型报警","19:33:06","19:33:15","9"
"ERR_S3_88","A工位测试2反馈超时报警","","19:33:25","19:33:44","19"
"ERR_S4_95","B工位测试治具1测试反馈超时报警","治具异常类型报警","19:33:26","19:33:45","19"
"ERR_S4_98","B治具2异常报警","治具异常类型报警","19:33:45","19:34:14","29"
"ERR_S4_96","B工位测试治具2测试反馈超时报警","治具异常类型报警","19:34:05","19:34:14","9"
"ERR_S3_98","A治具2异常报警","治具异常类型报警","19:34:23","19:34:33","10"
"ERR_S4_97","B治具1异常报警","治具异常类型报警","19:34:43","19:34:53","10"
"ERR_S4_95","B工位测试治具1测试反馈超时报警","治具异常类型报警","19:35:03","19:35:13","10"
"ERR_S3_98","A治具2异常报警","治具异常类型报警","19:35:12","19:35:22","10"
"ERR_S4_98","B治具2异常报警","治具异常类型报警","19:35:41","19:36:01","20"
"ERR_S2_12","已测流道有料状态[1]状态不符报警","感应器类型报警","19:37:07","19:37:27","20"
"ERR_S3_98","A治具2异常报警","治具异常类型报警","19:37:08","19:37:18","10"
"ERR_S3_88","A工位测试2反馈超时报警","","19:37:18","19:37:27","9"
"ERR_S4_97","B治具1异常报警","治具异常类型报警","19:37:28","19:53:16","948"
"ERR_S4_95","B工位测试治具1测试反馈超时报警","治具异常类型报警","19:37:47","19:53:16","929"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","20:33:15","20:34:06","51"
"ERR_S3_94","A工位MES上传数据PC反馈超时报警","MES上传类型报警","20:45:00","20:45:46","46"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","20:45:46","20:46:02","16"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","20:50:28","20:50:43","15"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","20:54:15","20:54:44","29"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","20:57:11","20:57:20","9"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","22:06:23","22:06:32","9"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","22:13:54","22:15:11","77"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","22:15:21","22:15:31","10"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","22:15:30","22:15:40","10"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","22:32:56","22:34:04","68"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","22:35:42","22:36:01","19"
"ERR_S3_111","A工位治具1不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","22:52:43","22:52:53","10"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","23:57:33","23:57:52","19"
