"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","06:27:36","06:35:27","471"
"ERR_S1_25","未测流道B模组顶升工位2状态不符报警","感应器类型报警","06:28:43","06:35:24","401"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","06:36:14","06:37:10","56"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:40:14","06:40:24","10"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","06:40:16","06:40:26","10"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","06:41:14","06:41:34","20"
"ERR_S4_101","B搬运夹爪有料状态不符报警","感应器类型报警","06:42:04","06:42:24","20"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","07:09:37","07:12:42","185"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:31:34","07:31:50","16"
"ERR_S3_70","C31_A取料盘夹爪气缸动位报警","气缸类型报警","13:44:53","13:45:24","31"
"ERR_S4_70","C33_B取料盘夹爪气缸动位报警","气缸类型报警","13:44:54","13:45:25","31"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","13:50:51","13:51:06","15"
"ERR_S3_64","V02_A未测取料真空2报警","真空类型报警","14:31:05","14:31:20","15"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","14:48:52","14:49:08","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","14:55:09","14:55:24","15"
"ERR_S3_64","V02_A未测取料真空2报警","真空类型报警","14:55:56","14:56:12","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","14:57:30","14:58:17","47"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","14:58:33","14:58:48","15"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:01:42","15:02:29","47"
"ERR_S3_63","V01_A未测取料真空1报警","真空类型报警","15:02:13","15:02:29","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:04:03","15:04:34","31"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","15:05:36","15:05:52","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:05:53","15:06:08","15"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:10:50","15:11:06","16"
"ERR_S3_64","V02_A未测取料真空2报警","真空类型报警","15:13:43","15:13:59","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:13:43","15:13:59","16"
"ERR_S1_27","未测流道A模组阻挡工位2状态不符报警","感应器类型报警","15:14:59","15:15:31","32"
"ERR_S1_22","未测流道A模组顶升工位1状态不符报警","感应器类型报警","15:14:59","15:15:31","32"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","15:15:47","15:16:02","15"
"ERR_S3_63","V01_A未测取料真空1报警","真空类型报警","15:17:39","15:17:54","15"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:19:28","15:19:44","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:21:34","15:21:49","15"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:23:23","15:23:39","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:27:34","15:27:50","16"
"ERR_S3_64","V02_A未测取料真空2报警","真空类型报警","15:28:21","15:28:37","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:32:33","15:32:48","15"
"ERR_S3_64","V02_A未测取料真空2报警","真空类型报警","15:33:04","15:33:20","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:34:54","15:35:26","32"
"ERR_S3_63","V01_A未测取料真空1报警","真空类型报警","15:35:26","15:35:42","16"
"ERR_S3_63","V01_A未测取料真空1报警","真空类型报警","15:35:58","15:36:13","15"
"ERR_S3_70","C31_A取料盘夹爪气缸动位报警","气缸类型报警","15:35:58","15:37:48","110"
"ERR_S3_2","A01_A搬运X轴负限位报警","轴类型报警","15:36:29","15:37:33","64"
