"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","12:04:35","12:05:11","36"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","12:07:01","12:07:37","36"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","12:09:44","12:10:38","54"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","12:12:27","12:12:45","18"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","12:13:58","12:14:35","37"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","12:17:36","12:17:53","17"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","12:26:03","12:26:57","54"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","13:07:43","13:08:01","18"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","13:08:19","13:08:37","18"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","16:06:16","16:08:14","118"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","16:44:14","16:46:39","145"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","17:41:05","17:41:50","45"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","20:09:51","20:12:54","183"
"ERR_S3_94","A工位MES上传数据PC反馈超时报警","MES上传类型报警","21:19:56","21:20:07","11"
