序号,安全门报警,,序号,Station1_未测流道工站报警信息,,序号,Station2_已测流道工站报警信息,,序号,Station3_A搬运工位报警信息,,序号,Station4_B搬运工位报警信息,,序号,Station5_工站报警信息,,序号,Station6_工站报警信息,,序号,Station7_工站报警信息,,序号,Station8_工站报警信息,,序号,Station9_工站报警信息,,序号,Station10_工站报警信息,,序号,Station11_工站报警信息,,序号,Station12_工站报警信息,,序号,Station13_工站报警信息,,序号,Station14_工站报警信息,,序号,Station15_工站报警信息
,,,53,,,53,,,53,A05_A搬运R2轴电池失效报警,,53,A05_A搬运R2轴电池失效报警,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,,,53,
,,,54,,,54,,,54,A05_A搬运R2轴功能块错误报警,,54,A05_A搬运R2轴功能块错误报警,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,,,54,
,,,55,,,55,,,55,A05_A搬运R2轴Ethercat未连接报警,,55,A05_A搬运R2轴Ethercat未连接报警,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,,,55,
,,,56,,,56,,,56,C18_A未测取料升降气缸1原位报警,,56,C22_B未测取料升降气缸1原位报警,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,,,56,
,,,57,,,57,,,57,C18_A未测取料升降气缸1动位报警,,57,C22_B未测取料升降气缸1动位报警,,57,,,57,,,57,,,57,,,57,,,57,,,57,,,57,,,57,,,57,,,57,
,,,58,,,58,,,58,C19_A未测取料升降气缸2原位报警,,58,C23_B未测取料升降气缸2原位报警,,58,,,58,,,58,,,58,,,58,,,58,,,58,,,58,,,58,,,58,,,58,
,,,59,,,59,,,59,C19_A未测取料升降气缸2动位报警,,59,C23_B未测取料升降气缸2动位报警,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,
,,,60,,,60,,,60,C20_A已测取料升降气缸1原位报警,,60,C24_B已测取料升降气缸1原位报警,,60,,,60,,,60,,,60,,,60,,,60,,,60,,,60,,,60,,,60,,,60,
,,,61,,,61,,,61,C20_A已测取料升降气缸1动位报警,,61,C24_B已测取料升降气缸1动位报警,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,,,61,
,,,62,,,62,,,62,C21_A已测取料升降气缸2原位报警,,62,C25_B已测取料升降气缸2原位报警,,62,,,62,,,62,,,62,,,62,,,62,,,62,,,62,,,62,,,62,,,62,
,,,63,,,63,,,63,C21_A已测取料升降气缸2动位报警,,63,C25_B已测取料升降气缸2动位报警,,63,,,63,,,63,,,63,,,63,,,63,,,63,,,63,,,63,,,63,,,63,
,,,64,,,64,,,64,V01_A未测取料真空1报警,,64,V05_B未测取料真空1阀报警,,64,,,64,,,64,,,64,,,64,,,64,,,64,,,64,,,64,,,64,,,64,
,,,65,,,65,,,65,V02_A未测取料真空2报警,,65,V06_B未测取料真空2阀报警,,65,,,65,,,65,,,65,,,65,,,65,,,65,,,65,,,65,,,65,,,65,
,,,66,,,66,,,66,V03_A已测取料真空1报警,,66,V07_B已测取料真空1阀报警,,66,,,66,,,66,,,66,,,66,,,66,,,66,,,66,,,66,,,66,,,66,
,,,67,,,67,,,67,V04_A已测取料真空2报警,,67,V08_B已测取料真空2阀报警,,67,,,67,,,67,,,67,,,67,,,67,,,67,,,67,,,67,,,67,,,67,
,,,68,,,68,,,68,C30_A取料盘升降气缸原位报警,,68,C32_B取料盘升降气缸原位报警,,68,,,68,,,68,,,68,,,68,,,68,,,68,,,68,,,68,,,68,,,68,
,,,69,,,69,,,69,C30_A取料盘升降气缸动位报警,,69,C32_B取料盘升降气缸动位报警,,69,,,69,,,69,,,69,,,69,,,69,,,69,,,69,,,69,,,69,,,69,
,,,70,,,70,,,70,C31_A取料盘夹爪气缸原位报警,,70,C33_B取料盘夹爪气缸缸原位报警,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,
,,,71,,,71,,,71,C31_A取料盘夹爪气缸动位报警,,71,C33_B取料盘夹爪气缸动位报警,,71,,,71,,,71,,,71,,,71,,,71,,,71,,,71,,,71,,,71,,,71,
,,,72,,,72,,,72,A工位A料盘扫码NG报警,,72,B工位MES数据上传NG报警,,72,,,72,,,72,,,72,,,72,,,72,,,72,,,72,,,72,,,72,,,72,
,,,73,,,73,,,73,A工位A料盘扫码超时,,73,B工位MES数据上传反馈超时报警,,73,,,73,,,73,,,73,,,73,,,73,,,73,,,73,,,73,,,73,,,73,
,,,74,,,74,,,74,A工位上传查询NG报警,,74,连续3次料盘取料失败报警,,74,,,74,,,74,,,74,,,74,,,74,,,74,,,74,,,74,,,74,,,74,
,,,75,,,75,,,75,A工位上传查询超时报警,,75,B模组A料盘扫码NG报警,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,75,
,,,76,,,76,,,76,A工位B料盘上相机扫码NG,,76,B模组A料盘扫码反馈超时,,76,,,76,,,76,,,76,,,76,,,76,,,76,,,76,,,76,,,76,,,76,
,,,77,,,77,,,77,A工位B料盘料盘扫码超时,,77,B工位进站数据查询NG报警,,77,,,77,,,77,,,77,,,77,,,77,,,77,,,77,,,77,,,77,,,77,
,,,78,,,78,,,78,A工位治具相机拍照NG,,78,B工位进站数据查询超时报警,,78,,,78,,,78,,,78,,,78,,,78,,,78,,,78,,,78,,,78,,,78,
,,,79,,,79,,,79,A工位治具定位拍照反馈超时报警,,79,B模组B料盘扫码NG报警,,79,,,79,,,79,,,79,,,79,,,79,,,79,,,79,,,79,,,79,,,79,
,,,80,,,80,,,80,A工位产品扫码拍照NG,,80,B模组B料盘扫码反馈超时,,80,,,80,,,80,,,80,,,80,,,80,,,80,,,80,,,80,,,80,,,80,
,,,81,,,81,,,81,A工位产品扫码拍照反馈超时,,81,B模组治具定位拍照NG报警,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,
,,,82,,,82,,,82,A工位下相机定位拍照NG,,82,B模组治具定位拍照反馈超时报警,,82,,,82,,,82,,,82,,,82,,,82,,,82,,,82,,,82,,,82,,,82,
,,,83,,,83,,,83,A工位下相机拍照超时,,83,B模组产品扫码拍照NG报警,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,83,,,83,
,,,84,,,84,,,84,测试箱取料连续3次失败报警,,84,B模组产品扫码拍照反馈超时报警,,84,,,84,,,84,,,84,,,84,,,84,,,84,,,84,,,84,,,84,,,84,
,,,85,,,85,,,85,测试治具反馈异常，请检查,,85,B模组产品定位拍照NG报警,,85,,,85,,,85,,,85,,,85,,,85,,,85,,,85,,,85,,,85,,,85,
,,,86,,,86,,,86,A工位PC测试反馈超时,,86,B模组产品定位拍照反馈超时报警,,86,,,86,,,86,,,86,,,86,,,86,,,86,,,86,,,86,,,86,,,86,
,,,87,,,87,,,87,A工位缓存盘取料NG报警,,87,B模组测试箱取料连续3次失败报警,,87,,,87,,,87,,,87,,,87,,,87,,,87,,,87,,,87,,,87,,,87,
,,,88,,,88,,,88,A工位测试1反馈超时报警,,88,B工位治具状态查询NG报警,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,88,,,88,
,,,89,,,89,,,89,A工位测试2反馈超时报警,,89,B工位治具状态查询反馈超时报警,,89,,,89,,,89,,,89,,,89,,,89,,,89,,,89,,,89,,,89,,,89,
,,,90,,,90,,,90,A未测吸嘴1状态不符报警,,90,B未测吸嘴1状态不符报警,,90,,,90,,,90,,,90,,,90,,,90,,,90,,,90,,,90,,,90,,,90,
,,,91,,,91,,,91,A未测吸嘴2状态不符报警,,91,B未测吸嘴2状态不符报警,,91,,,91,,,91,,,91,,,91,,,91,,,91,,,91,,,91,,,91,,,91,
,,,92,,,92,,,92,A已测吸嘴1状态不符报警,,92,B已测吸嘴1状态不符报警,,92,,,92,,,92,,,92,,,92,,,92,,,92,,,92,,,92,,,92,,,92,
,,,93,,,93,,,93,A已测吸嘴2状态不符报警,,93,B已测吸嘴2状态不符报警,,93,,,93,,,93,,,93,,,93,,,93,,,93,,,93,,,93,,,93,,,93,
,,,94,,,94,,,94,A工位MES上传数据NG报警,,94,B搬运夹爪有料状态不符报警,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,,,94,
,,,95,,,95,,,95,A工位MES上传数据PC反馈超时报警,,95,B工位视觉发送坐标偏差异常报警,,95,,,95,,,95,,,95,,,95,,,95,,,95,,,95,,,95,,,95,,,95,
,,,96,,,96,,,96,A工位连续3次取料失败报警,,96,B工位测试治具1测试反馈超时报警,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,,,96,
,,,97,,,97,,,97,A工位视觉坐标偏差过大报警,,97,B工位测试治具2测试反馈超时报警,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,,,97,
,,,98,,,98,,,98,A治具1异常报警,,98,B治具1异常报警,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,
,,,99,,,99,,,99,A治具2异常报警,,99,B治具2异常报警,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,,,99,
,,,100,,,100,,,100,A工位治具1未推到位无法运行报警,,100,B工位治具1未推到位无法运行报警,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,
,,,101,,,101,,,101,A工位治具2未推到位无法运行报警,,101,B工位治具2未推到位无法运行报警,,101,,,101,,,101,,,101,,,101,,,101,,,101,,,101,,,101,,,101,,,101,
,,,102,,,102,,,102,A搬运夹爪有料状态不符报警,,102,B搬运夹爪有料状态不符报警,,102,,,102,,,102,,,102,,,102,,,102,,,102,,,102,,,102,,,102,,,102,
,,,103,,,103,,,103,C26_治具1上锁气缸原位报警,,103,C28_治具3上锁气缸原位报警,,103,,,103,,,103,,,103,,,103,,,103,,,103,,,103,,,103,,,103,,,103,
,,,104,,,104,,,104,C26_治具1上锁气缸动位报警,,104,C28_治具3上锁气缸动位报警,,104,,,104,,,104,,,104,,,104,,,104,,,104,,,104,,,104,,,104,,,104,
,,,105,,,105,,,105,C27_治具2上锁气缸原位报警,,105,C28_治具3上锁气缸原位报警,,105,,,105,,,105,,,105,,,105,,,105,,,105,,,105,,,105,,,105,,,105,
,,,106,,,106,,,106,C27_治具2上锁气缸动位报警,,106,C28_治具3上锁气缸动位报警,,106,,,106,,,106,,,106,,,106,,,106,,,106,,,106,,,106,,,106,,,106,
,,,107,,,107,,,107,A工位取料前复检拍照CCD_NG报警,,107,B工位取料前复检拍照CCD_NG报警,,107,,,107,,,107,,,107,,,107,,,107,,,107,,,107,,,107,,,107,,,107,
,,,108,,,108,,,108,A工位取料前复检拍照CCD反馈超时报警,,108,B工位取料前复检拍照CCD反馈超时报警,,108,,,108,,,108,,,108,,,108,,,108,,,108,,,108,,,108,,,108,,,108,
,,,109,,,109,,,109,A工位放料后复检拍照CCD_NG报警,,109,B工位放料后复检拍照CCD_NG报警,,109,,,109,,,109,,,109,,,109,,,109,,,109,,,109,,,109,,,109,,,109,
,,,110,,,110,,,110,A工位放料后复检拍照CCD反馈超时报警,,110,B工位放料后复检拍照CCD反馈超时报警,,110,,,110,,,110,,,110,,,110,,,110,,,110,,,110,,,110,,,110,,,110,
,,,111,,,111,,,111,A工位NG盘满料报警，请及时取走,,111,B工位NG盘满料报警，请及时取走,,111,,,111,,,111,,,111,,,111,,,111,,,111,,,111,,,111,,,111,,,111,
,,,112,,,112,,,112,A工位治具1不在测试中并且治具不在安全位_治具异常报警,,112,B工位治具1不在测试中并且治具不在安全位_治具异常报警,,112,,,112,,,112,,,112,,,112,,,112,,,112,,,112,,,112,,,112,,,112,
,,,113,,,113,,,113,A工位治具2不在测试中并且治具不在安全位_治具异常报警,,113,B工位治具2不在测试中并且治具不在安全位_治具异常报警,,113,,,113,,,113,,,113,,,113,,,113,,,113,,,113,,,113,,,113,,,113,
,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,,,114,
,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,,,115,
,,,116,,,116,,,116,A工位CCD发送结果错误报警,,116,B工位CCD发送结果错误报警,,116,,,116,,,116,,,116,,,116,,,116,,,116,,,116,,,116,,,116,,,116,
,,,117,,,117,,,117,A治具1_穴位1产品检测异常,,117,B治具1_穴位1产品检测异常,,117,,,117,,,117,,,117,,,117,,,117,,,117,,,117,,,117,,,117,,,117,
,,,118,,,118,,,118,A治具1_穴位1Y夹持回原位异常,,118,B治具1_穴位1Y夹持回原位异常,,118,,,118,,,118,,,118,,,118,,,118,,,118,,,118,,,118,,,118,,,118,
,,,119,,,119,,,119,A治具1_穴位1Y夹持到位异常,,119,B治具1_穴位1Y夹持到位异常,,119,,,119,,,119,,,119,,,119,,,119,,,119,,,119,,,119,,,119,,,119,
,,,120,,,120,,,120,A治具1_穴位1X夹持回原位异常,,120,B治具1_穴位1X夹持回原位异常,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,
,,,121,,,121,,,121,A治具1_穴位1X夹持到位异常,,121,B治具1_穴位1X夹持到位异常,,121,,,121,,,121,,,121,,,121,,,121,,,121,,,121,,,121,,,121,,,121,
,,,122,,,122,,,122,A治具1_穴位1开启真空吸异常,,122,B治具1_穴位1开启真空吸异常,,122,,,122,,,122,,,122,,,122,,,122,,,122,,,122,,,122,,,122,,,122,
,,,123,,,123,,,123,A治具1_穴位1开启真空吸异常,,123,B治具1_穴位1开启真空吸异常,,123,,,123,,,123,,,123,,,123,,,123,,,123,,,123,,,123,,,123,,,123,
,,,124,,,124,,,124,A治具1_穴位1B2BY回原位异常,,124,B治具1_穴位1B2BY回原位异常,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,
,,,125,,,125,,,125,A治具1_穴位1B2BY到位异常,,125,B治具1_穴位1B2BY到位异常,,125,,,125,,,125,,,125,,,125,,,125,,,125,,,125,,,125,,,125,,,125,
,,,126,,,126,,,126,A治具1_穴位1B2BZ回原位异常,,126,B治具1_穴位1B2BZ回原位异常,,126,,,126,,,126,,,126,,,126,,,126,,,126,,,126,,,126,,,126,,,126,
,,,127,,,127,,,127,A治具1_穴位1B2BZ到位异常,,127,B治具1_穴位1B2BZ到位异常,,127,,,127,,,127,,,127,,,127,,,127,,,127,,,127,,,127,,,127,,,127,
,,,128,,,128,,,128,A治具1_穴位1龙门架回原位异常,,128,B治具1_穴位1龙门架回原位异常,,128,,,128,,,128,,,128,,,128,,,128,,,128,,,128,,,128,,,128,,,128,
,,,129,,,129,,,129,A治具1_穴位1龙门架到位异常,,129,B治具1_穴位1龙门架到位异常,,129,,,129,,,129,,,129,,,129,,,129,,,129,,,129,,,129,,,129,,,129,
,,,130,,,130,,,130,A治具1_穴位1esdr顶针回原位异常,,130,B治具1_穴位1esdr顶针回原位异常,,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130,
